epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.6040832996368408,0.4633632302284241,0.39591702818870544,1e-04,0.6115972995758057,0.722391664981842,0.8693598508834839,0.7743232846260071,0.13064010441303253,0.9299264550209045,0.8174334168434143
1,0.8443856239318848,0.7427822351455688,0.15561293065547943,1e-04,0.9104130864143372,0.7526496052742004,0.9041232466697693,0.8273632526397705,0.09587666392326355,0.9565284848213196,0.7932884097099304
2,0.8847442865371704,0.8024270534515381,0.11525505036115646,1e-04,0.9336426854133606,0.7914888858795166,0.9252787828445435,0.8623313903808594,0.07472117245197296,0.94912189245224,0.8641319870948792
3,0.8870230913162231,0.8080877661705017,0.11297737061977386,1e-04,0.9339279532432556,0.7930818200111389,0.8919230103492737,0.8077857494354248,0.1080770492553711,0.8974736928939819,0.8701831698417664
4,0.9033167958259583,0.8321154117584229,0.09668252617120743,1e-04,0.9438591599464417,0.8124157786369324,0.9000235795974731,0.8244463801383972,0.09997640550136566,0.9066934585571289,0.8581827282905579
5,0.915744960308075,0.8509719371795654,0.08425509184598923,1e-04,0.9520193338394165,0.8258545994758606,0.8874629735946655,0.8045255541801453,0.11253716051578522,0.8889164328575134,0.8808630108833313
6,0.9201780557632446,0.8581550717353821,0.07982181757688522,1e-04,0.9538503885269165,0.8329293131828308,0.8963230848312378,0.8216703534126282,0.10367697477340698,0.922008752822876,0.8417348861694336
7,0.922793984413147,0.8625920414924622,0.07720684260129929,1e-04,0.9563964009284973,0.8316585421562195,0.9322908520698547,0.8745540976524353,0.06770913302898407,0.9604657888412476,0.8621866106987
8,0.9289742708206177,0.8727102875709534,0.07102606445550919,1e-04,0.9595600366592407,0.8416168689727783,0.9180768728256226,0.8539023995399475,0.08192318677902222,0.9571691155433655,0.8519280552864075
9,0.9333913326263428,0.8797603249549866,0.06660851091146469,1e-04,0.9601759314537048,0.845936119556427,0.9375631809234619,0.8841665983200073,0.062436867505311966,0.9462130069732666,0.8762175440788269
10,0.9375812411308289,0.8864225745201111,0.06241897866129875,1e-04,0.9667230248451233,0.8492142558097839,0.9459812641143799,0.8979382514953613,0.0540187694132328,0.9629591107368469,0.8698103427886963
11,0.9498447179794312,0.906336784362793,0.05015643313527107,1e-04,0.9755939245223999,0.8622251749038696,0.9476280212402344,0.9012736082077026,0.05237197130918503,0.9638969898223877,0.8783367872238159
12,0.9412925839424133,0.8926762938499451,0.05870754271745682,1e-04,0.9667433500289917,0.8544252514839172,0.9294184446334839,0.8715750575065613,0.0705816000699997,0.9693140983581543,0.8419801592826843
